Nom,Categoria,Tipus,Mida,MidaRar,RatiRar,VelocitatRar,Mida7z,Rati7z,Velocitat7z
file_example_MP3_1MG.mp3,AUDIO,MP3,1087849,1085194,.997,0.042,1086862,.999,0.101
file_example_MP3_2MG.mp3,AUDIO,MP3,2113939,2110008,.998,0.067,2112966,.999,0.183
file_example_MP3_5MG.mp3,AUDIO,MP3,5289384,5280613,.998,0.141,5288751,.999,0.462
file_example_MP3_700KB.mp3,AUDIO,MP3,764176,760878,.995,0.033,763037,.998,0.074
file_example_OOG_1MG.ogg,AUDIO,OGG,1089524,1087141,.997,0.042,1087966,.998,0.104
file_example_OOG_2MG.ogg,AUDIO,OGG,2076666,2074923,.999,0.061,2076045,.999,0.185
file_example_OOG_5MG.ogg,AUDIO,OGG,4879515,4705599,.964,0.142,4705825,.964,0.459
file_example_WAV_10MG.wav,AUDIO,WAV,10406738,7301919,.701,0.341,6869789,.660,1.354
file_example_WAV_1MG.wav,AUDIO,WAV,1073218,854992,.796,0.045,802244,.747,0.124
file_example_WAV_2MG.wav,AUDIO,WAV,2146166,1619942,.754,0.079,1540020,.717,0.252
file_example_WAV_5MG.wav,AUDIO,WAV,5226766,3751834,.717,0.189,3559408,.680,0.691
file_example_GIF_1MB.gif,IMAGE,GIF,1032183,1028086,.996,0.038,1026457,.994,0.096
file_example_GIF_3500kB.gif,IMAGE,GIF,3649209,3558337,.975,0.097,3526734,.966,0.334
file_example_GIF_500kB.gif,IMAGE,GIF,510619,510752,1.000,0.028,510748,1.000,0.051
file_example_favicon.ico,IMAGE,ICO,390,201,.515,0.014,230,.589,0.006
file_example_JPG_100kB.jpg,IMAGE,JPG,102117,99413,.973,0.018,100408,.983,0.016
file_example_JPG_1MB.jpg,IMAGE,JPG,1042592,1014774,.973,0.038,1012351,.970,0.110
file_example_JPG_2500kB.jpg,IMAGE,JPG,2504642,2446006,.976,0.077,2436138,.972,0.241
file_example_JPG_500kB.jpg,IMAGE,JPG,555181,539058,.970,0.030,538846,.970,0.058
file_example_PNG_1MB.png,IMAGE,PNG,1006708,1006926,1.000,0.038,1006917,1.000,0.097
file_example_PNG_2100kB.png,IMAGE,PNG,2060826,2061058,1.000,0.064,2061100,1.000,0.185
file_example_PNG_3MB.png,IMAGE,PNG,2964729,2964956,1.000,0.091,2965043,1.000,0.254
file_example_PNG_500kB.png,IMAGE,PNG,512596,512818,1.000,0.027,512789,1.000,0.052
file_example_SVG_20kB.svg,IMAGE,SVG,22488,9624,.427,0.015,8707,.387,0.010
file_example_SVG_30kB.svg,IMAGE,SVG,30868,13916,.450,0.015,12544,.406,0.011
file_example_TIFF_10MB.tiff,IMAGE,TIFF,10151438,2678054,.263,0.296,2682167,.264,2.081
file_example_TIFF_1MB.tiff,IMAGE,TIFF,1131930,364064,.321,0.046,381074,.336,0.223
file_example_TIFF_5MB.tiff,IMAGE,TIFF,5233994,1483180,.283,0.155,1503870,.287,1.051
file_example_WEBP_1500kB.webp,IMAGE,WEBP,1490952,1491190,1.000,0.050,1491196,1.000,0.135
file_example_WEBP_250kB.webp,IMAGE,WEBP,257750,257978,1.000,0.020,257928,1.000,0.032
file_example_WEBP_500kB.webp,IMAGE,WEBP,517842,518070,1.000,0.026,518035,1.000,0.052
file_example_WEBP_50kB.webp,IMAGE,WEBP,50408,50633,1.004,0.016,50574,1.003,0.011
0.txt,TEXT,HTML,57404,14007,.244,0.016,13358,.232,0.012
10.txt,TEXT,HTML,304069,54253,.178,0.020,51359,.168,0.028
11.txt,TEXT,HTML,58478,13623,.232,0.016,12990,.222,0.011
12.txt,TEXT,HTML,60217,13498,.224,0.016,12898,.214,0.011
13.txt,TEXT,HTML,96926,18547,.191,0.016,17531,.180,0.014
14.txt,TEXT,HTML,55884,13545,.242,0.015,12889,.230,0.011
15.txt,TEXT,HTML,69569,16253,.233,0.016,15490,.222,0.012
16.txt,TEXT,HTML,65467,16115,.246,0.016,15346,.234,0.012
17.txt,TEXT,HTML,56496,13343,.236,0.016,12746,.225,0.012
18.txt,TEXT,HTML,54986,13036,.237,0.016,12452,.226,0.012
19.txt,TEXT,HTML,111498,17175,.154,0.016,16205,.145,0.013
1.txt,TEXT,HTML,77468,16618,.214,0.016,15687,.202,0.013
20.txt,TEXT,HTML,70872,15806,.223,0.016,15065,.212,0.013
21.txt,TEXT,HTML,49944,12125,.242,0.016,11557,.231,0.011
22.txt,TEXT,HTML,85124,17631,.207,0.016,16742,.196,0.013
23.txt,TEXT,HTML,140939,21242,.150,0.017,20097,.142,0.017
24.txt,TEXT,HTML,58678,13819,.235,0.016,13194,.224,0.011
25.txt,TEXT,HTML,43040,10654,.247,0.015,10176,.236,0.010
26.txt,TEXT,HTML,120086,21672,.180,0.017,20380,.169,0.017
27.txt,TEXT,HTML,64596,14594,.225,0.016,13918,.215,0.012
28.txt,TEXT,HTML,76863,16581,.215,0.016,15793,.205,0.013
